,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,-42.8794,147.3294,60.67,63,75,3.44
1,Rikitea,-23.1203,-134.9692,78.6,75,43,15.73
2,Butaritari,3.0707,172.7902,82.0,84,85,17.94
3,Koulamoutou,-1.1303,12.4736,73.04,94,62,1.9
4,Cape Town,-33.9258,18.4232,67.12,82,0,16.11
5,Port Elizabeth,-33.918,25.5701,66.2,88,0,6.91
6,Castro,-24.7911,-50.0119,68.23,89,87,1.57
7,Chokurdakh,70.6333,147.9167,-10.57,89,40,6.31
8,Saint-Philippe,-21.3585,55.7679,73.81,73,75,5.75
9,Ushuaia,-54.8,-68.3,55.4,71,75,26.46
10,Gisborne,-38.6533,178.0042,68.0,56,9,4.0
11,Amberley,39.2048,-84.428,29.59,64,1,12.66
12,Yellowknife,62.456,-114.3525,-11.09,70,75,12.66
13,Lima,-12.0432,-77.0282,72.32,73,0,9.22
14,Pisco,-13.7,-76.2167,72.79,68,0,17.27
15,Sola,-13.8833,167.55,80.6,89,90,19.98
16,Atuona,-9.8,-139.0333,78.42,74,2,13.24
17,Avarua,-21.2078,-159.775,84.2,74,82,4.61
18,Clyde River,70.4692,-68.5914,-32.8,68,1,3.44
19,Narsaq,60.9167,-46.05,23.0,54,40,3.44
20,Mopipi,-21.1833,24.8833,69.89,84,99,16.44
21,Vostok,46.4856,135.8833,-25.11,84,100,7.58
22,Hermanus,-34.4187,19.2345,60.01,92,0,5.37
23,Zabul Province,32.25,67.25,36.03,73,0,5.37
24,Barrow,71.2906,-156.7887,-23.8,69,1,13.8
25,Saint George,37.1041,-113.5841,66.2,39,90,2.21
26,Punta Arenas,-53.15,-70.9167,59.0,67,75,28.77
27,Qaanaaq,77.484,-69.3632,-12.33,84,100,0.83
28,Pāsighāt,28.0667,95.3333,56.46,48,0,3.11
29,Mataura,-46.1927,168.8643,68.16,61,90,7.2
30,Labuan,5.2767,115.2417,78.39,89,20,5.75
31,Ilo,-17.6394,-71.3375,69.33,78,8,4.12
32,Progreso,21.2833,-89.6667,71.6,68,40,6.91
33,Gafargaon,24.4333,90.5667,57.2,82,0,4.07
34,Mingyue,43.1069,128.9217,-0.67,80,75,17.05
35,Albany,42.6001,-73.9662,26.13,87,100,9.69
36,Dudinka,69.4058,86.1778,-4.7,92,100,7.76
37,Tiksi,71.6872,128.8694,-0.72,93,100,14.14
38,Urengoy,65.9667,78.3667,6.85,95,89,6.78
39,Sydney,-33.8679,151.2073,70.07,60,20,16.11
40,Port Alfred,-33.5906,26.891,66.99,91,26,1.01
41,Poum,-20.2333,164.0167,77.52,81,100,25.81
42,Bluff,-46.6,168.3333,59.67,87,85,13.02
43,Richards Bay,-28.783,32.0377,67.89,84,100,3.47
44,Havelock,34.8791,-76.9013,42.01,61,90,10.36
45,Ondjiva,-17.0667,15.7333,66.22,54,46,8.52
46,Hualmay,-11.0964,-77.6139,71.06,77,81,7.94
47,Nhulunbuy,-12.2333,136.7667,80.6,89,100,6.91
48,Saldanha,-33.0117,17.9442,64.4,82,0,5.75
49,Kavieng,-2.5744,150.7967,83.88,73,82,10.85
50,Longyearbyen,78.2186,15.6401,21.2,86,40,6.91
51,Tasiilaq,65.6145,-37.6368,19.4,93,90,4.61
52,Hamilton,39.1834,-84.5333,29.64,64,20,17.27
53,Mar del Plata,-38.0023,-57.5575,66.29,82,0,9.22
54,Buala,-8.145,159.5921,78.24,90,99,11.07
55,Rosetta,31.4044,30.4164,59.0,94,42,4.61
56,Staunton,38.1496,-79.0717,29.8,51,40,6.91
57,Mattru,7.6244,-11.8332,76.32,86,2,1.95
58,Puerto Ayora,-0.7393,-90.3518,84.2,70,0,17.27
59,Billings Metropolitan Area,45.7833,-108.5007,60.8,18,20,14.97
60,Hong Kong,22.2855,114.1577,60.62,73,77,1.01
61,Margate,51.3813,1.3862,50.29,83,71,4.0
62,Lapeer,43.0514,-83.3188,26.26,50,1,8.05
63,Kapaa,22.0752,-159.319,78.35,69,20,18.41
64,Tonj,7.2737,28.6822,77.41,27,10,3.38
65,Arlit,18.7369,7.3853,64.08,24,0,7.49
66,Camacha,33.0833,-16.3333,62.6,77,75,1.14
67,Tezu,27.9167,96.1667,58.28,43,0,3.44
68,Arraial do Cabo,-22.9661,-42.0278,77.76,78,0,12.66
69,Rawson,-43.3002,-65.1023,75.76,32,0,6.31
70,Jamestown,42.097,-79.2353,25.05,86,90,14.97
71,San Borja,-14.8167,-66.85,76.48,91,100,2.62
72,Yinchuan,38.4681,106.2731,24.57,68,3,3.76
73,Āsosa,10.0667,34.5333,72.48,30,22,4.83
74,Barcelos,41.5388,-8.6151,54.34,94,90,23.02
75,Cooma,-36.2333,149.1333,55.4,62,90,12.66
76,Sabang,5.8933,95.3214,81.9,78,35,18.23
77,Namatanai,-3.6667,152.4333,80.51,78,100,8.05
78,Lebu,-37.6167,-73.65,59.22,81,15,12.33
79,Shellbrook,53.2168,-106.4011,21.2,79,75,3.44
80,Flinders,-34.5833,150.8552,72.0,55,44,5.99
81,Sambava,-14.2667,50.1667,75.78,80,50,7.09
82,Grants Pass,42.439,-123.3284,47.01,57,40,4.61
83,Vao,-22.6667,167.4833,79.61,74,95,37.76
84,Carnarvon,-24.8667,113.6333,73.4,100,90,18.41
85,Nizhniy Tsasuchey,50.5167,115.1333,-17.77,81,0,8.57
86,Stantsionno-Oyashinskiy,55.4664,83.8245,7.77,94,100,11.12
87,Kavaratti,10.5669,72.642,80.64,71,4,3.8
88,Fortuna,40.5982,-124.1573,53.02,66,1,9.22
89,Mbalmayo,3.5167,11.5,73.4,100,40,4.61
90,Pandamatenga,-18.5278,25.627,67.28,92,100,6.44
91,Hilo,19.7297,-155.09,73.98,57,90,13.8
92,Tuktoyaktuk,69.4541,-133.0374,-34.6,74,1,3.44
93,Pevek,69.7008,170.3133,8.98,92,100,10.76
94,Codrington,-38.2667,141.9667,63.25,64,55,10.92
95,Cayenne,4.9333,-52.3333,78.8,94,75,4.61
96,Cidreira,-30.1811,-50.2056,77.72,87,29,12.95
97,George Town,5.4112,100.3354,75.97,88,20,5.61
98,Norman Wells,65.282,-126.8329,-18.4,69,75,8.05
99,Talnakh,69.4865,88.3972,-13.14,82,98,5.37
100,San Patricio,28.017,-97.5169,66.56,40,1,14.97
101,Chapais,49.7834,-74.8492,19.4,73,1,10.36
102,Xam Nua,20.4197,104.0439,57.04,93,82,2.24
103,Nuquí,5.7125,-77.2708,78.85,84,76,3.78
104,Borova,50.1763,30.1043,23.27,93,51,2.24
105,Cam Ranh,11.9214,109.1591,75.2,69,40,11.5
106,Airai,-8.9266,125.4092,66.4,97,100,2.91
107,Coquimbo,-29.9533,-71.3436,62.6,77,0,11.5
108,Baykit,61.67,96.37,-10.12,86,100,2.15
109,Lorengau,-2.0226,147.2712,84.15,74,79,10.25
110,Lagoa,39.05,-27.9833,56.1,65,35,34.16
111,Andenes,69.3143,16.1194,26.37,63,49,13.94
112,Holme,56.1138,10.1725,27.66,86,75,9.22
113,Busselton,-33.65,115.3333,66.99,80,52,3.0
114,Ipixuna,-1.7625,-48.8043,80.6,78,0,8.05
115,East London,-33.0153,27.9116,70.16,79,92,11.16
116,Katsuura,35.1333,140.3,44.02,57,40,10.36
117,Dikson,73.5069,80.5464,-24.02,84,2,13.31
118,New Norfolk,-42.7826,147.0587,59.32,54,97,1.99
119,Hofn,64.2539,-15.2082,31.19,96,100,15.37
120,Mareeba,-17.0,145.4333,84.06,65,75,2.3
121,Faya,18.3851,42.4509,56.3,62,0,3.15
122,Karaman Province,37.0833,33.25,40.42,71,100,4.61
123,Vaini,-21.2,-175.2,82.4,89,75,8.05
124,Saskylakh,71.9167,114.0833,-2.88,91,100,14.2
125,Maceió,-9.6658,-35.7353,75.2,94,0,3.44
126,Muhafazat Lahij,13.1667,44.5833,66.99,82,8,3.89
127,Mahébourg,-20.4081,57.7,78.8,78,40,6.91
128,São Filipe,14.8961,-24.4956,72.43,78,1,7.7
129,Boralday,43.3578,76.8594,26.6,93,90,2.24
130,Kaitangata,-46.2817,169.8464,68.0,70,87,3.0
131,Warkworth,-36.4,174.6667,74.35,63,0,1.99
132,Verkhovazh'ye,60.7472,42.0465,5.05,94,3,4.72
133,Sisimiut,66.9395,-53.6735,-5.3,81,0,11.92
134,Tura,25.5198,90.2201,55.67,58,0,2.93
135,Ouadda,8.0777,22.4007,79.5,23,85,2.91
136,Thompson,55.7435,-97.8558,15.8,92,90,4.61
137,Nanortalik,60.1432,-45.2371,15.94,85,0,18.95
138,Port Hardy,50.6996,-127.4199,43.5,75,75,8.05
139,Evensk,61.95,159.2333,12.43,91,100,15.08
140,Nouadhibou,20.931,-17.0347,68.0,56,0,13.8
141,Upernavik,72.7868,-56.1549,-6.74,87,100,4.12
142,Guhāgar,17.4842,73.1929,72.3,37,0,5.68
143,Presque Isle,46.6811,-68.0159,26.8,100,90,16.11
144,Prince Rupert,54.3161,-130.3201,45.14,49,20,8.05
145,Sojat,25.9167,73.6667,57.49,34,0,4.65
146,Bratsk,56.1325,101.6142,-13.0,77,100,4.47
147,Ajdabiya,30.7554,20.2263,58.35,71,42,5.57
148,Khatanga,71.9667,102.5,-22.92,86,75,5.97
149,Dingle,10.9995,122.6711,77.14,86,99,12.68
150,Naze,28.3667,129.4833,57.2,58,75,13.8
151,Shingū,33.7333,135.9833,41.0,52,40,17.27
152,Inta,66.0317,60.1659,10.6,95,100,13.0
153,Salinópolis,-0.6136,-47.3561,79.23,85,74,11.36
154,Xining,36.6167,101.7667,16.0,64,82,2.46
155,Ürümqi,43.801,87.6005,15.8,86,100,2.24
156,Mount Gambier,-37.8333,140.7667,62.6,63,90,13.8
157,Te Anau,-45.4167,167.7167,63.41,73,99,3.15
158,Nuuk,64.1835,-51.7216,6.8,56,20,11.5
159,Anloga,5.7947,0.8973,84.2,84,20,9.22
160,Carauari,-4.8828,-66.8958,74.37,97,100,1.01
161,Kolokani,13.5728,-8.0339,70.97,17,1,9.57
162,Wismar,53.9,11.4667,30.72,93,100,4.0
163,Zyryanskoye,56.8306,86.6258,9.54,95,100,8.05
164,Anandpur,31.25,76.5,53.47,41,41,4.07
165,Annau,37.8876,58.516,37.4,87,0,9.22
166,Isangel,-19.55,169.2667,84.2,70,20,20.71
167,Kamenka,51.3223,42.7678,33.01,97,100,4.43
168,Sudak,44.85,34.9667,49.98,80,99,2.84
169,Cuamba,-14.8031,36.5372,70.05,94,14,0.85
170,Bandarbeyla,9.4942,50.8122,71.6,72,27,13.35
171,Husavik,66.0449,-17.3389,12.2,73,0,5.75
172,Simao,22.7886,100.9748,48.13,85,9,1.21
173,Oranjemund,-28.55,16.4333,64.15,87,0,1.3
174,Comodoro Rivadavia,-45.8667,-67.5,78.8,31,0,9.22
175,Grand Gaube,-20.0064,57.6608,79.0,75,10,1.99
176,Lakes Entrance,-37.8811,147.981,57.0,87,91,1.01
177,Mīnāb,27.1467,57.0801,51.8,62,0,6.91
178,Camopi,3.1655,-52.3158,73.11,98,100,2.68
179,Coffs Harbour,-30.3,153.1333,77.47,61,40,13.8
180,Ust'-Uda,54.1742,103.0304,-6.79,90,100,3.69
181,Vila Franca do Campo,37.7167,-25.4333,53.6,71,40,28.77
182,Ghorāwal,24.7667,82.7833,52.07,48,4,3.78
183,Solnechnyy,50.7214,136.6319,-25.13,82,100,3.49
184,Coxim,-18.5067,-54.76,82.71,65,99,5.19
185,Ilmajoki,62.7333,22.5667,-5.8,77,0,1.14
186,Cabo San Lucas,22.8909,-109.9124,75.49,50,40,8.05
187,Provideniya,64.3833,-173.3,5.97,90,100,18.9
188,Kruisfontein,-34.0033,24.7314,69.4,62,0,6.49
189,Westport,41.1415,-73.3579,31.32,80,90,6.91
190,Itarema,-2.9248,-39.9167,78.37,78,9,11.9
191,Champerico,14.3,-91.9167,82.06,58,20,9.22
192,Bethel,41.3712,-73.414,27.7,86,90,10.36
193,Krabi,8.0726,98.9105,71.6,100,20,4.61
194,Anadyr,64.75,177.4833,12.2,73,75,17.9
195,Kemijärvi,66.7131,27.4306,5.18,94,4,3.69
196,Ponta do Sol,32.6667,-17.1,54.68,75,59,1.01
197,San Juan,-31.5375,-68.5364,70.47,34,39,6.51
198,Saint Paul Harbor,57.79,-152.4072,35.6,80,90,14.97
199,Nānākuli,21.3906,-158.1547,75.18,65,75,9.22
200,Ribeira Grande,38.5167,-28.7,57.07,66,41,34.9
201,Bengkulu,-3.8004,102.2655,75.88,86,100,6.24
202,Sakété,6.7362,2.6587,84.2,84,20,12.66
203,Tiarei,-17.5333,-149.3333,87.4,62,20,5.75
204,Sarankhola,22.3082,89.7897,53.89,42,0,3.65
205,Cuiluan,47.72,128.648,-20.16,83,51,7.18
206,Saquisilí,-0.8333,-78.6667,57.2,72,40,18.41
207,Biak,-0.9131,122.8766,77.85,81,100,3.94
208,Ixtapa,20.7,-105.2,75.2,78,40,9.22
209,Auki,-8.7676,160.7034,79.61,88,95,13.11
210,Shenjiamen,29.9576,122.298,46.92,74,46,12.37
211,Hailey,43.5196,-114.3153,35.6,65,40,2.68
212,Pontianak,-0.0333,109.3333,75.2,88,40,4.61
213,Mehamn,71.0357,27.8492,23.88,90,91,17.34
214,Korla,41.7597,86.1469,24.21,81,8,2.71
215,Plattsburgh,44.6995,-73.4529,24.93,86,90,25.32
216,Bambous Virieux,-20.3428,57.7575,78.89,78,40,6.91
217,Nikolskoye,59.7035,30.7861,21.97,86,90,11.18
218,Alofi,-19.0595,-169.9187,84.2,84,100,12.66
219,Half Moon Bay,37.4636,-122.4286,56.75,82,1,8.05
220,Santa Maria,-29.6842,-53.8069,78.8,100,40,2.3
221,Chernyshevskiy,63.0128,112.4714,-35.37,83,70,6.93
222,Namie,37.4833,141.0,36.0,71,23,8.59
223,Avera,33.194,-82.5271,44.04,33,1,8.05
224,Qaqortoq,60.7167,-46.0333,23.0,54,40,3.44
225,Esperance,-33.8667,121.9,66.2,72,60,16.11
226,Vágur,61.4732,-6.8119,39.79,71,6,27.42
227,Ostrovnoy,68.0531,39.5131,24.87,96,100,17.38
228,Chui,-33.6971,-53.4616,73.44,87,59,5.82
229,Beloha,-25.1667,45.05,77.68,85,16,12.86
230,Constitución,-35.3333,-72.4167,59.83,82,9,6.31
231,Launceston,-41.45,147.1667,63.7,63,90,14.97
232,Voh,-20.9667,164.7,73.81,88,100,11.99
233,Yaan,7.3833,8.5667,79.57,22,17,4.97
234,Severo-Kuril'sk,50.6789,156.125,22.98,93,87,47.38
235,Paracatu,-17.2222,-46.8747,72.64,83,100,1.83
236,Znamenskoye,57.1281,73.8282,24.85,98,100,8.93
237,Chupa,66.27,33.0549,5.47,93,14,4.09
238,Pirapora do Bom Jesus,-23.3969,-47.0022,71.74,88,75,3.44
239,Hithadhoo,-0.6,73.0833,81.9,71,72,4.16
240,Tuatapere,-46.1333,167.6833,64.99,73,86,10.58
241,Fairbanks,64.8378,-147.7164,-10.7,59,1,5.75
242,Chișinău,47.0056,28.8575,33.8,100,90,6.91
243,Forsytheganj,52.6333,29.7333,21.15,98,88,9.15
244,Montecristo,8.2971,-74.4733,78.35,85,82,1.25
245,Tingi,-11.3,35.0333,64.18,96,71,3.29
246,Morgan City,29.6994,-91.2068,54.52,41,1,5.75
247,Sendafa,9.15,39.0333,51.8,43,0,1.68
248,Iwanai,42.9744,140.5089,10.49,92,100,24.16
249,Merauke,-8.4667,140.3333,82.11,80,58,14.58
250,Pangnirtung,66.1451,-65.7125,-20.2,63,20,3.44
251,Kumul,42.8,93.45,26.53,77,100,3.53
252,Ambon City,-3.6954,128.1814,82.4,78,40,4.61
253,Luanda,-8.8368,13.2343,78.8,83,75,9.22
254,San Cristobal,7.7669,-72.225,86.0,54,20,6.91
255,Dawei,14.0833,98.2,72.19,69,0,3.24
256,Władysławowo,54.7909,18.4009,28.83,93,99,2.3
257,Hokitika,-42.7167,170.9667,65.73,67,0,8.37
258,Qui Nhon,13.7667,109.2333,71.73,86,57,12.46
259,Camalú,30.85,-116.0667,68.0,48,80,8.01
260,Srednekolymsk,67.45,153.6833,-22.09,86,56,3.22
261,Zhalantun,48.0,122.7167,-18.33,77,0,3.67
262,Touros,-5.1989,-35.4608,78.8,78,20,8.05
263,Kiryat Gat,31.61,34.7642,61.47,53,91,1.99
264,Dalmau,26.0667,81.0333,52.3,54,31,4.85
265,Saint-Donat-de-Montcalm,46.3187,-74.2219,32.0,55,100,3.44
266,Port Lincoln,-34.7333,135.8667,65.95,70,84,13.06
267,Ise,34.4833,136.7,41.0,56,0,7.0
268,Plátanos,37.6667,21.6167,45.75,100,40,5.35
269,Boa Vista,2.8197,-60.6733,84.2,58,75,8.05
270,Zhigansk,66.7697,123.3711,-32.91,84,100,14.92
271,Huarmey,-10.0681,-78.1522,70.9,76,27,7.38
272,Sur,22.5667,59.5289,65.48,68,3,0.49
273,Begoro,6.3871,-0.3774,73.56,88,6,5.21
274,San Matías,-16.3667,-58.4,83.62,67,100,4.47
275,Piltene,57.2243,21.6744,24.8,100,90,1.14
276,Ulladulla,-35.35,150.4667,66.97,49,40,12.66
277,Batamshinskiy,50.5594,58.2747,35.6,87,90,24.61
278,Geraldton,-28.7667,114.6,73.4,78,75,17.27
279,Sète,43.4018,3.6966,50.52,87,0,6.91
280,Honningsvåg,70.9821,25.9704,27.21,90,97,19.66
